,method,test
64,,"  public void test0()  throws Throwable  {
      AccessLevel[] accessLevelArray0 = AccessLevel.values();
}"
65,,"  public void test1()  throws Throwable  {
      AccessLevel accessLevel0 = AccessLevel.valueOf(""PROTECTED"");
}"
66,"    public int merge(final int mod) {
        int remove = 0;
        for (final AccessLevel accessLevel : EnumSet.complementOf(EnumSet.of(this))) {
            remove |= accessLevel.flag;
        }
        return mod & ~remove | flag;
    }","  public void test2()  throws Throwable  {
      AccessLevel accessLevel0 = AccessLevel.parse(""PACKAGE"");
      int int0 = accessLevel0.merge(0);
}"
67,"    public int merge(final int mod) {
        int remove = 0;
        for (final AccessLevel accessLevel : EnumSet.complementOf(EnumSet.of(this))) {
            remove |= accessLevel.flag;
        }
        return mod & ~remove | flag;
    }","  public void test3()  throws Throwable  {
      AccessLevel accessLevel0 = AccessLevel.defaultValue();
      int int0 = accessLevel0.merge(3);
}"
68,"    public String toString() {
        return name().toLowerCase(Locale.US);
    }","  public void test4()  throws Throwable  {
      AccessLevel accessLevel0 = AccessLevel.PRIVATE;
      String string0 = accessLevel0.toString();
}"
69,"    public static AccessLevel of(final int mod) {
        final Set<AccessLevel> matched = EnumSet.noneOf(AccessLevel.class);
        if (Modifier.isPublic(mod)) {
            matched.add(PUBLIC);
        }
        if (Modifier.isProtected(mod)) {
            matched.add(PROTECTED);
        }
        if (Modifier.isPrivate(mod)) {
            matched.add(PRIVATE);
        }
        if (matched.isEmpty()) {
            return PACKAGE;
        }
        Validate.isTrue(matched.size() == 1, ""%s seems to declare multiple access modifiers: %s"", mod, matched);
        return matched.iterator().next();
    }","  public void test5()  throws Throwable  {
      AccessLevel accessLevel0 = AccessLevel.of(1232);
}"
70,"    public int merge(final int mod) {
        int remove = 0;
        for (final AccessLevel accessLevel : EnumSet.complementOf(EnumSet.of(this))) {
            remove |= accessLevel.flag;
        }
        return mod & ~remove | flag;
    }","  public void test6()  throws Throwable  {
      AccessLevel accessLevel0 = AccessLevel.of((-30));
      int int0 = accessLevel0.merge((-30));
}"
71,"    public static AccessLevel of(final int mod) {
        final Set<AccessLevel> matched = EnumSet.noneOf(AccessLevel.class);
        if (Modifier.isPublic(mod)) {
            matched.add(PUBLIC);
        }
        if (Modifier.isProtected(mod)) {
            matched.add(PROTECTED);
        }
        if (Modifier.isPrivate(mod)) {
            matched.add(PRIVATE);
        }
        if (matched.isEmpty()) {
            return PACKAGE;
        }
        Validate.isTrue(matched.size() == 1, ""%s seems to declare multiple access modifiers: %s"", mod, matched);
        return matched.iterator().next();
    }","  public void test7()  throws Throwable  {
      // Undeclared exception!
      try { 
        AccessLevel.of((-3073));
        fail(""Expecting exception: IllegalArgumentException"");
      } catch(IllegalArgumentException e) {
         //
         // -3073 seems to declare multiple access modifiers: [public, protected, private]
         //
         verifyException(""org.apache.commons.lang3.Validate"", e);
      }
  }"
72,"    public static AccessLevel defaultValue() {
        return AccessLevel.PRIVATE;
    }","  public void test8()  throws Throwable  {
      AccessLevel accessLevel0 = AccessLevel.parse("""");
}"
73,"    static void checkSecurityManager(final GeneratorAdapter mgen) {
        final Label setFalse = new Label();
        final Label done = new Label();
        mgen.invokeStatic(Type.getType(System.class),
            new Method(""getSecurityManager"", Type.getType(SecurityManager.class), Privilizer.EMPTY_TYPE_ARRAY));
        mgen.ifNull(setFalse);
        mgen.push(true);
        mgen.goTo(done);
        mgen.mark(setFalse);
        mgen.push(false);
        mgen.mark(done);
    }","  public void test0()  throws Throwable  {
      Class<Integer> class0 = Integer.class;
      Type type0 = Type.getType(class0);
      Type[] typeArray0 = new Type[3];
      typeArray0[0] = type0;
      typeArray0[1] = type0;
      typeArray0[2] = type0;
      Method method0 = new Method(""?P&zE1"", type0, typeArray0);
      String[] stringArray0 = new String[3];
      MethodNode methodNode0 = new MethodNode(1, ""fzTwwtmOIjD"", (String) null, ""03%$'5}SGmBhl<"", stringArray0);
      GeneratorAdapter generatorAdapter0 = new GeneratorAdapter(54, method0, methodNode0);
      PrivilizingVisitor.checkSecurityManager(generatorAdapter0);
}"
74,"    PrivilizingVisitor(final Privilizer privilizer, final ClassVisitor cv) { //NOPMD
        privilizer.super();
        this.policy = privilizer.policy;
        this.accessLevel = privilizer.accessLevel;
        this.cv =
            new InlineNestedPrivilegedCalls(privilizer, privilegedMethods, new StaticInitMerger(
                privilizer.generateName(""clinit""), cv));
    }","  public void test1()  throws Throwable  {
      PrivilizingVisitor privilizingVisitor0 = null;
      try {
        privilizingVisitor0 = new PrivilizingVisitor((Privilizer) null, (ClassVisitor) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.privilizer.PrivilizingVisitor"", e);
      }
  }"
75,"    static void checkSecurityManager(final GeneratorAdapter mgen) {
        final Label setFalse = new Label();
        final Label done = new Label();
        mgen.invokeStatic(Type.getType(System.class),
            new Method(""getSecurityManager"", Type.getType(SecurityManager.class), Privilizer.EMPTY_TYPE_ARRAY));
        mgen.ifNull(setFalse);
        mgen.push(true);
        mgen.goTo(done);
        mgen.mark(setFalse);
        mgen.push(false);
        mgen.mark(done);
    }","  public void test2()  throws Throwable  {
      // Undeclared exception!
      try { 
        PrivilizingVisitor.checkSecurityManager((GeneratorAdapter) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.privilizer.PrivilizingVisitor"", e);
      }
  }"
76,"    protected File getTarget() {
        return target;
    }","  public void test0()  throws Throwable  {
      System.setCurrentTimeMillis((-1613L));
      TestWeaveMojo testWeaveMojo0 = new TestWeaveMojo();
      File file0 = MockFile.createTempFile(""q/8aa"", ""]jvym)Hh#V! 7K@)X "");
      testWeaveMojo0.target = file0;
      File file1 = testWeaveMojo0.getTarget();
}"
77,"    protected File getTarget() {
        return target;
    }","  public void test1()  throws Throwable  {
      TestWeaveMojo testWeaveMojo0 = new TestWeaveMojo();
      MockFile mockFile0 = new MockFile((File) null, """");
      testWeaveMojo0.target = (File) mockFile0;
      File file0 = testWeaveMojo0.getTarget();
}"
78,"    protected File getTarget() {
        return target;
    }","  public void test2()  throws Throwable  {
      TestWeaveMojo testWeaveMojo0 = new TestWeaveMojo();
      MockFile mockFile0 = new MockFile("".dTU5d7&<W&)I"");
      testWeaveMojo0.target = (File) mockFile0;
      File file0 = testWeaveMojo0.getTarget();
}"
79,"    protected File getTarget() {
        return target;
    }","  public void test3()  throws Throwable  {
      TestWeaveMojo testWeaveMojo0 = new TestWeaveMojo();
      File file0 = testWeaveMojo0.getTarget();
}"
80,"    protected File getTarget() {
        return target;
    }","  public void test0()  throws Throwable  {
      System.setCurrentTimeMillis((-724L));
      PrepareMojo prepareMojo0 = new PrepareMojo();
      File file0 = prepareMojo0.getTarget();
      File file1 = MockFile.createTempFile(""~3r"", ""juTI&8."", file0);
      prepareMojo0.target = file1;
      File file2 = prepareMojo0.getTarget();
}"
81,"    protected File getTarget() {
        return target;
    }","  public void test1()  throws Throwable  {
      PrepareMojo prepareMojo0 = new PrepareMojo();
      MockFile mockFile0 = new MockFile(""|iu}ujk`o$bJGb"", """");
      mockFile0.mkdir();
      prepareMojo0.target = (File) mockFile0;
      File file0 = prepareMojo0.getTarget();
}"
82,"    protected File getTarget() {
        return target;
    }","  public void test2()  throws Throwable  {
      PrepareMojo prepareMojo0 = new PrepareMojo();
      DefaultModelLocator defaultModelLocator0 = new DefaultModelLocator();
      File file0 = defaultModelLocator0.locatePom((File) null);
      prepareMojo0.target = file0;
      File file1 = prepareMojo0.getTarget();
}"
83,"    protected File getTarget() {
        return target;
    }","  public void test3()  throws Throwable  {
      PrepareMojo prepareMojo0 = new PrepareMojo();
      MockFile mockFile0 = new MockFile("".>_[uz"");
      prepareMojo0.target = (File) mockFile0;
      File file0 = prepareMojo0.getTarget();
}"
84,"    protected File getTarget() {
        return target;
    }","  public void test0()  throws Throwable  {
      System.setCurrentTimeMillis((-3456L));
      TestPrepareMojo testPrepareMojo0 = new TestPrepareMojo();
      MockFile mockFile0 = new MockFile(""i3D(?2;ky\""En0~.&pN5"", """");
      File file0 = MockFile.createTempFile(""4k#1*jK-(d"", ""+6(@-''3I+{`Q'O,dv"", (File) mockFile0);
      testPrepareMojo0.target = file0;
      File file1 = testPrepareMojo0.getTarget();
}"
85,"    protected File getTarget() {
        return target;
    }","  public void test1()  throws Throwable  {
      TestPrepareMojo testPrepareMojo0 = new TestPrepareMojo();
      File file0 = MockFile.createTempFile("".5uL<Q,<%Tk`rSR%F_$"", "",v7}M.3b6kpRhC:"");
      testPrepareMojo0.target = file0;
      File file1 = testPrepareMojo0.getTarget();
}"
86,"    protected File getTarget() {
        return target;
    }","  public void test2()  throws Throwable  {
      TestPrepareMojo testPrepareMojo0 = new TestPrepareMojo();
      MockFile mockFile0 = new MockFile("""");
      testPrepareMojo0.target = (File) mockFile0;
      File file0 = testPrepareMojo0.getTarget();
}"
87,"    protected File getTarget() {
        return target;
    }","  public void test3()  throws Throwable  {
      TestPrepareMojo testPrepareMojo0 = new TestPrepareMojo();
      DefaultModelProcessor defaultModelProcessor0 = new DefaultModelProcessor();
      DefaultModelLocator defaultModelLocator0 = new DefaultModelLocator();
      defaultModelProcessor0.setModelLocator(defaultModelLocator0);
      File file0 = defaultModelProcessor0.locatePom((File) null);
      testPrepareMojo0.target = file0;
      File file1 = testPrepareMojo0.getTarget();
}"
88,"    protected File getTarget() {
        return target;
    }","  public void test4()  throws Throwable  {
      TestPrepareMojo testPrepareMojo0 = new TestPrepareMojo();
      MockFile mockFile0 = new MockFile((File) null, ""NmD"");
      testPrepareMojo0.target = (File) mockFile0;
      File file0 = testPrepareMojo0.getTarget();
}"
89,"    protected File getTarget() {
        return target;
    }","  public void test5()  throws Throwable  {
      TestPrepareMojo testPrepareMojo0 = new TestPrepareMojo();
      File file0 = testPrepareMojo0.getTarget();
}"
90,"    protected void doExecute(final File target, final List<String> classpath, final Properties config)
        throws MojoExecutionException {
        if (!target.isDirectory()) {
            return;
        }
        try {
            new CleanProcessor(classpath, target, config).clean();
        } catch (Exception e) {
            throw new MojoExecutionException(""cleaning failed due to "" + e.getMessage(), e);
        }
    }","  public void test0()  throws Throwable  {
      PrepareMojo prepareMojo0 = new PrepareMojo();
      MockFile mockFile0 = new MockFile("""");
      Model model0 = new Model();
      MavenProject mavenProject0 = new MavenProject(model0);
      List<String> list0 = mavenProject0.getCompileSourceRoots();
      Developer developer0 = new Developer();
      Properties properties0 = developer0.getProperties();
      prepareMojo0.doExecute(mockFile0, list0, properties0);
}"
91,"    protected void doExecute(final File target, final List<String> classpath, final Properties config)
        throws MojoExecutionException {
        if (!target.isDirectory()) {
            return;
        }
        try {
            new CleanProcessor(classpath, target, config).clean();
        } catch (Exception e) {
            throw new MojoExecutionException(""cleaning failed due to "" + e.getMessage(), e);
        }
    }","  public void test1()  throws Throwable  {
      PrepareMojo prepareMojo0 = new PrepareMojo();
      DefaultProfileActivationContext defaultProfileActivationContext0 = new DefaultProfileActivationContext();
      List<String> list0 = defaultProfileActivationContext0.getInactiveProfileIds();
      // Undeclared exception!
      try { 
        prepareMojo0.doExecute((File) null, list0, (Properties) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.maven.AbstractPrepareMojo"", e);
      }
  }"
92,"    protected void doExecute(final File target, final List<String> classpath, final Properties config)
        throws MojoExecutionException {
        if (!target.isDirectory()) {
            return;
        }
        try {
            new CleanProcessor(classpath, target, config).clean();
        } catch (Exception e) {
            throw new MojoExecutionException(""cleaning failed due to "" + e.getMessage(), e);
        }
    }","  public void test2()  throws Throwable  {
      TestPrepareMojo testPrepareMojo0 = new TestPrepareMojo();
      MockFile mockFile0 = new MockFile(""u<+*:*k@Opwv4"");
      LinkedList<String> linkedList0 = new LinkedList<String>();
      testPrepareMojo0.doExecute(mockFile0, linkedList0, (Properties) null);
}"
93,"    protected void doExecute(final File target, final List<String> classpath, final Properties config)
        throws MojoExecutionException {
        if (!target.isDirectory()) {
            return;
        }
        try {
            new CleanProcessor(classpath, target, config).clean();
        } catch (Exception e) {
            throw new MojoExecutionException(""cleaning failed due to "" + e.getMessage(), e);
        }
    }","  public void test3()  throws Throwable  {
      PrepareMojo prepareMojo0 = new PrepareMojo();
      MockFile mockFile0 = new MockFile("""");
      Properties properties0 = new Properties();
      try { 
        prepareMojo0.doExecute(mockFile0, (List<String>) null, properties0);
        fail(""Expecting exception: MojoExecutionException"");
      } catch(MojoExecutionException e) {
         //
         // cleaning failed due to classpath
         //
         verifyException(""org.apache.commons.weaver.maven.AbstractPrepareMojo"", e);
      }
  }"
94,"    protected void doExecute(final File target, final List<String> classpath, final Properties config)
        throws MojoExecutionException {
        try {
            new WeaveProcessor(classpath, target, config).weave();
        } catch (Exception e) {
            throw new MojoExecutionException(""weaving failed due to "" + e.getMessage(), e);
        }
    }","  public void test0()  throws Throwable  {
      WeaveMojo weaveMojo0 = new WeaveMojo();
      MockFile mockFile0 = new MockFile(""Ow(d/$#^;Jp=+"");
      MavenProject mavenProject0 = new MavenProject();
      List<String> list0 = mavenProject0.getCompileClasspathElements();
      Properties properties0 = new Properties();
      weaveMojo0.doExecute(mockFile0, list0, properties0);
}"
95,"    protected void doExecute(final File target, final List<String> classpath, final Properties config)
        throws MojoExecutionException {
        try {
            new WeaveProcessor(classpath, target, config).weave();
        } catch (Exception e) {
            throw new MojoExecutionException(""weaving failed due to "" + e.getMessage(), e);
        }
    }","  public void test1()  throws Throwable  {
      TestWeaveMojo testWeaveMojo0 = new TestWeaveMojo();
      ArtifactRepositoryPolicy artifactRepositoryPolicy0 = new ArtifactRepositoryPolicy(true, """", "".cZ(Md0_%"");
      MavenArtifactRepository mavenArtifactRepository0 = new MavenArtifactRepository(""Gk"", """", (ArtifactRepositoryLayout) null, artifactRepositoryPolicy0, artifactRepositoryPolicy0);
      List<String> list0 = mavenArtifactRepository0.findVersions((Artifact) null);
      Properties properties0 = new Properties();
      try { 
        testWeaveMojo0.doExecute((File) null, list0, properties0);
        fail(""Expecting exception: MojoExecutionException"");
      } catch(MojoExecutionException e) {
         //
         // weaving failed due to target
         //
         verifyException(""org.apache.commons.weaver.maven.AbstractWeaveMojo"", e);
      }
  }"
96,"    protected File getTarget() {
        return target;
    }","  public void test0()  throws Throwable  {
      WeaveMojo weaveMojo0 = new WeaveMojo();
      MockFile mockFile0 = new MockFile("" of type "", """");
      weaveMojo0.target = (File) mockFile0;
      System.setCurrentTimeMillis((-1284L));
      mockFile0.mkdirs();
      File file0 = weaveMojo0.getTarget();
}"
97,"    protected File getTarget() {
        return target;
    }","  public void test1()  throws Throwable  {
      WeaveMojo weaveMojo0 = new WeaveMojo();
      MockFile mockFile0 = new MockFile("".<<,Gl"");
      weaveMojo0.target = (File) mockFile0;
      File file0 = weaveMojo0.getTarget();
}"
98,"    protected File getTarget() {
        return target;
    }","  public void test2()  throws Throwable  {
      WeaveMojo weaveMojo0 = new WeaveMojo();
      DefaultModelLocator defaultModelLocator0 = new DefaultModelLocator();
      File file0 = defaultModelLocator0.locatePom((File) null);
      weaveMojo0.target = file0;
      File file1 = weaveMojo0.getTarget();
}"
99,"    protected File getTarget() {
        return target;
    }","  public void test3()  throws Throwable  {
      WeaveMojo weaveMojo0 = new WeaveMojo();
      File file0 = weaveMojo0.getTarget();
}"
100,"    protected OutputStream getOutputStream(final String resourceName) throws IOException {
        final File file = new File(target, resourceName);
        final File parent = file.getParentFile();
        if (parent.exists()) {
            Validate.validState(parent.isDirectory(), ""Cannot write %s to non-directory parent"", file);
        } else {
            Validate.validState(parent.mkdirs(), ""Unable to create output directory %s"", parent);
        }
        return new FileOutputStream(file);
    }","  public void test0()  throws Throwable  {
      FileSystemHandling.shouldAllThrowIOExceptions();
      FileSystemHandling.setPermissions((EvoSuiteFile) null, true, true, true);
      System.setCurrentTimeMillis(0L);
      System.setCurrentTimeMillis(2144L);
      MockFile mockFile0 = new MockFile(""5>snD Er?#mOQ"");
      ClassLoader classLoader0 = ClassLoader.getSystemClassLoader();
      ClassLoader classLoader1 = classLoader0.getParent();
      ClassLoader.getSystemClassLoader();
      Properties properties0 = new Properties();
      Logger logger0 = Logger.getLogger(""5>snD Er?#mOQ"");
      logger0.finest(""5>snD Er?#mOQ"");
      LocalWeaveEnvironment localWeaveEnvironment0 = new LocalWeaveEnvironment(mockFile0, classLoader1, properties0, logger0);
      localWeaveEnvironment0.getOutputStream(""5>snD Er?#mOQ"");
      System.setCurrentTimeMillis(0L);
      System.setCurrentTimeMillis(0L);
      System.setCurrentTimeMillis(0L);
      long long0 = (-2800L);
      System.setCurrentTimeMillis((-2800L));
      System.setCurrentTimeMillis(0L);
      System.setCurrentTimeMillis((-2800L));
      mockFile0.setReadOnly();
      localWeaveEnvironment0.getOutputStream(""5>snD Er?#mOQ"");
      try { 
        localWeaveEnvironment0.getOutputStream("""");
        fail(""Expecting exception: FileNotFoundException"");
      } catch(FileNotFoundException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.evosuite.runtime.mock.java.io.MockFileOutputStream"", e);
      }
  }"
101,"    protected OutputStream getOutputStream(final String resourceName) throws IOException {
        final File file = new File(target, resourceName);
        final File parent = file.getParentFile();
        if (parent.exists()) {
            Validate.validState(parent.isDirectory(), ""Cannot write %s to non-directory parent"", file);
        } else {
            Validate.validState(parent.mkdirs(), ""Unable to create output directory %s"", parent);
        }
        return new FileOutputStream(file);
    }","  public void test1()  throws Throwable  {
      MockFile mockFile0 = new MockFile("""", """");
      MockFile mockFile1 = new MockFile(mockFile0, """");
      ClassLoader classLoader0 = ClassLoader.getSystemClassLoader();
      Properties properties0 = new Properties();
      Logger logger0 = Logger.getLogger("""");
      LocalWeaveEnvironment localWeaveEnvironment0 = new LocalWeaveEnvironment(mockFile1, classLoader0, properties0, logger0);
      // Undeclared exception!
      try { 
        localWeaveEnvironment0.getOutputStream("""");
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.LocalWeaveEnvironment"", e);
      }
  }"
102,"    public boolean deleteResource(final String name) {
        return new File(target, name).delete();
    }","  public void test2()  throws Throwable  {
      MockFile mockFile0 = new MockFile("""");
      Properties properties0 = new Properties();
      Logger logger0 = Logger.getLogger("""");
      LocalWeaveEnvironment localWeaveEnvironment0 = new LocalWeaveEnvironment(mockFile0, (ClassLoader) null, properties0, logger0);
      boolean boolean0 = localWeaveEnvironment0.deleteResource("""");
      localWeaveEnvironment0.deleteResource(""qSl9M>"");
      localWeaveEnvironment0.deleteResource("""");
      boolean boolean1 = localWeaveEnvironment0.deleteResource("""");
}"
103,"    protected OutputStream getOutputStream(final String resourceName) throws IOException {
        final File file = new File(target, resourceName);
        final File parent = file.getParentFile();
        if (parent.exists()) {
            Validate.validState(parent.isDirectory(), ""Cannot write %s to non-directory parent"", file);
        } else {
            Validate.validState(parent.mkdirs(), ""Unable to create output directory %s"", parent);
        }
        return new FileOutputStream(file);
    }","  public void test3()  throws Throwable  {
      MockFile mockFile0 = new MockFile("".CnE5mB0|c[a"", "".CnE5mB0|c[a"");
      ClassLoader classLoader0 = ClassLoader.getSystemClassLoader();
      Properties properties0 = new Properties();
      Logger logger0 = Logger.getLogger(""F$FFf"");
      LocalWeaveEnvironment localWeaveEnvironment0 = new LocalWeaveEnvironment(mockFile0, classLoader0, properties0, logger0);
      OutputStream outputStream0 = localWeaveEnvironment0.getOutputStream(""F$FFf"");
}"
104,"    protected OutputStream getOutputStream(final String resourceName) throws IOException {
        final File file = new File(target, resourceName);
        final File parent = file.getParentFile();
        if (parent.exists()) {
            Validate.validState(parent.isDirectory(), ""Cannot write %s to non-directory parent"", file);
        } else {
            Validate.validState(parent.mkdirs(), ""Unable to create output directory %s"", parent);
        }
        return new FileOutputStream(file);
    }","  public void test4()  throws Throwable  {
      File file0 = MockFile.createTempFile(""UrP=C+3sn"", ""i~%"");
      ClassLoader classLoader0 = ClassLoader.getSystemClassLoader();
      Properties properties0 = new Properties();
      Logger logger0 = Logger.getAnonymousLogger();
      Logger logger1 = logger0.getParent();
      LocalWeaveEnvironment localWeaveEnvironment0 = new LocalWeaveEnvironment(file0, classLoader0, properties0, logger1);
      // Undeclared exception!
      try { 
        localWeaveEnvironment0.getOutputStream(""org.apache.commons.weaver.LocalWeaveEnvironment"");
        fail(""Expecting exception: IllegalStateException"");
      } catch(IllegalStateException e) {
         //
         // Cannot write /tmp/UrP=C+3sn0i~%/org.apache.commons.weaver.LocalWeaveEnvironment to non-directory parent
         //
         verifyException(""org.apache.commons.lang3.Validate"", e);
      }
  }"
105,"    public boolean deleteResource(final String name) {
        return new File(target, name).delete();
    }","  public void test5()  throws Throwable  {
      MockFile mockFile0 = new MockFile(""Unable to create output directory %s"", ""Unable to create output directory %s"");
      ClassLoader classLoader0 = ClassLoader.getSystemClassLoader();
      ClassLoader classLoader1 = classLoader0.getParent();
      Properties properties0 = new Properties();
      Logger logger0 = Logger.getGlobal();
      LocalWeaveEnvironment localWeaveEnvironment0 = new LocalWeaveEnvironment(mockFile0, classLoader1, properties0, logger0);
      boolean boolean0 = localWeaveEnvironment0.deleteResource(""Unable to create output directory %s"");
}"
106,"    protected OutputStream getOutputStream(final String resourceName) throws IOException {
        final File file = new File(target, resourceName);
        final File parent = file.getParentFile();
        if (parent.exists()) {
            Validate.validState(parent.isDirectory(), ""Cannot write %s to non-directory parent"", file);
        } else {
            Validate.validState(parent.mkdirs(), ""Unable to create output directory %s"", parent);
        }
        return new FileOutputStream(file);
    }","  public void test6()  throws Throwable  {
      File file0 = MockFile.createTempFile(""nsJk!ii{"", ""nsJk!ii{"");
      ClassLoader classLoader0 = ClassLoader.getSystemClassLoader();
      Properties properties0 = new Properties();
      Logger logger0 = Logger.getLogger(""nsJk!ii{"");
      LocalWeaveEnvironment localWeaveEnvironment0 = new LocalWeaveEnvironment(file0, classLoader0, properties0, logger0);
      // Undeclared exception!
      try { 
        localWeaveEnvironment0.getOutputStream(""nsJk!ii{"");
        fail(""Expecting exception: IllegalStateException"");
      } catch(IllegalStateException e) {
         //
         // Cannot write /tmp/nsJk!ii{0nsJk!ii{/nsJk!ii{ to non-directory parent
         //
         verifyException(""org.apache.commons.lang3.Validate"", e);
      }
  }"
107,"    protected LocalWeaveEnvironment(final File target, final ClassLoader classLoader, final Properties config,
        final Logger log) {
        super(classLoader, config, log);
        Validate.notNull(target, ""target"");
        this.target = target;
    }","  public void test7()  throws Throwable  {
      ClassLoader classLoader0 = ClassLoader.getSystemClassLoader();
      ClassLoader classLoader1 = classLoader0.getParent();
      Properties properties0 = new Properties();
      ClassLoader.getSystemClassLoader();
      String string0 = """";
      Logger logger0 = Logger.getLogger("""");
      classLoader1.clearAssertionStatus();
      classLoader1.setClassAssertionStatus("""", true);
      logger0.finest("""");
      LocalWeaveEnvironment localWeaveEnvironment0 = null;
      try {
        localWeaveEnvironment0 = new LocalWeaveEnvironment((File) null, classLoader1, properties0, logger0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // target
         //
         verifyException(""org.apache.commons.lang3.Validate"", e);
      }
  }"
108,"    protected LocalWeaveEnvironment(final File target, final ClassLoader classLoader, final Properties config,
        final Logger log) {
        super(classLoader, config, log);
        Validate.notNull(target, ""target"");
        this.target = target;
    }","  public void test8()  throws Throwable  {
      ClassLoader classLoader0 = ClassLoader.getSystemClassLoader();
      ClassLoader classLoader1 = classLoader0.getParent();
      Properties properties0 = new Properties();
      Logger logger0 = Logger.getGlobal();
      LocalWeaveEnvironment localWeaveEnvironment0 = null;
      try {
        localWeaveEnvironment0 = new LocalWeaveEnvironment((File) null, classLoader1, properties0, logger0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // target
         //
         verifyException(""org.apache.commons.lang3.Validate"", e);
      }
  }"
109,"    protected OutputStream getOutputStream(final String resourceName) throws IOException {
        final File file = new File(target, resourceName);
        final File parent = file.getParentFile();
        if (parent.exists()) {
            Validate.validState(parent.isDirectory(), ""Cannot write %s to non-directory parent"", file);
        } else {
            Validate.validState(parent.mkdirs(), ""Unable to create output directory %s"", parent);
        }
        return new FileOutputStream(file);
    }","  public void test9()  throws Throwable  {
      MockFile mockFile0 = new MockFile(""ZjYvoF2b5VhG=fq%"");
      ClassLoader classLoader0 = ClassLoader.getSystemClassLoader();
      Properties properties0 = new Properties();
      Logger logger0 = Logger.getGlobal();
      LocalWeaveEnvironment localWeaveEnvironment0 = new LocalWeaveEnvironment(mockFile0, classLoader0, properties0, logger0);
      localWeaveEnvironment0.deleteResource(""ZjYvoF2b5VhG=fq%"");
      OutputStream outputStream0 = localWeaveEnvironment0.getOutputStream(""ZjYvoF2b5VhG=fq%"");
      OutputStream outputStream1 = localWeaveEnvironment0.getOutputStream(""ZjYvoF2b5VhG=fq%"");
}"
110,"    Finder(final Archive archive) {
        super(archive, false);
        classfileAnnotations = CLASSFILE_ANNOTATIONS.get();
        CLASSFILE_ANNOTATIONS.remove();
        inflater = new Inflater(classfileAnnotations);
        enableFindImplementations();
        enableFindSubclasses();
    }","  public void test0()  throws Throwable  {
      Class<WeaveInterest>[] classArray0 = (Class<WeaveInterest>[]) Array.newInstance(Class.class, 1);
      ClassesArchive classesArchive0 = new ClassesArchive(classArray0);
      Finder finder0 = new Finder(classesArchive0);
      Class<Annotation> class0 = Annotation.class;
      ElementType elementType0 = ElementType.METHOD;
      WeaveInterest weaveInterest0 = WeaveInterest.of(class0, elementType0);
      AnnotationFinder.ClassInfo annotationFinder_ClassInfo0 = finder0.new ClassInfo(weaveInterest0.annotationType);
      AnnotationFinder.InfoBuildingVisitor annotationFinder_InfoBuildingVisitor0 = finder0.new InfoBuildingVisitor(annotationFinder_ClassInfo0);
      Finder.Visitor finder_Visitor0 = finder0.new Visitor(annotationFinder_InfoBuildingVisitor0);
      FieldVisitor fieldVisitor0 = finder_Visitor0.visitField(21, ""Zjxj;Kwb5S*-_"", ""Zjxj;Kwb5S*-_"", ""Zjxj;Kwb5S*-_"", (Object) null);
}"
111,"    protected void readClassDef(final InputStream bytecode) throws IOException {
        try {
            new ClassReader(bytecode).accept(new Visitor(new InfoBuildingVisitor()), ASM_FLAGS);
        } finally {
            bytecode.close();
        }
    }","  public void test1()  throws Throwable  {
      ClassLoader classLoader0 = ClassLoader.getSystemClassLoader();
      URL[] uRLArray0 = new URL[2];
      ClasspathArchive classpathArchive0 = new ClasspathArchive(classLoader0, uRLArray0);
      Finder finder0 = new Finder(classpathArchive0);
      InputStream inputStream0 = classpathArchive0.getBytecode(""org.apache.commons.weaver.Finder$AnnotationCapturer$2"");
      finder0.readClassDef(inputStream0);
}"
112,"    static <T, U> Stream<U> typed(final Class<U> type, final Supplier<Stream<T>> stream) {
        return stream.get().filter(type::isInstance).map(type::cast);
    }","  public void test2()  throws Throwable  {
      Class<Archive> class0 = Archive.class;
      Stream<String> stream0 = Stream.empty();
      Supplier<Stream<String>> supplier0 = (Supplier<Stream<String>>) mock(Supplier.class, new ViolatedAssumptionAnswer());
      doReturn(stream0).when(supplier0).get();
      Stream<Archive> stream1 = Finder.typed(class0, supplier0);
}"
